ABC_Publication,Edition,State,District,Year,Half,Language,Frequency,Avg Circulation,Gram State,Gram District
Aaj Samaj,New Delhi edition,HR,Rohtak,2013,H1,Hindi,Dailies,15581.0,HARYANA,ROHTAK
Aaj Samaj,New Delhi edition,HR,Rohtak,2013,H2,Hindi,Dailies,15831.0,HARYANA,ROHTAK
Aaj Samaj,New Delhi edition,HR,Rohtak,2014,H1,Hindi,Dailies,15793.0,HARYANA,ROHTAK
Aaj Samaj,New Delhi edition,HR,Rohtak,2014,H2,Hindi,Dailies,15869.0,HARYANA,ROHTAK
Aaj Samaj,New Delhi edition,HR,Rohtak,2015,H1,Hindi,Dailies,15903.0,HARYANA,ROHTAK
Aaj Samaj,New Delhi edition,HR,Sirsa,2013,H1,Hindi,Dailies,9001.0,HARYANA,SIRSA
Aaj Samaj,New Delhi edition,HR,Sirsa,2013,H2,Hindi,Dailies,9197.0,HARYANA,SIRSA
Aaj Samaj,New Delhi edition,HR,Sirsa,2014,H1,Hindi,Dailies,9134.0,HARYANA,SIRSA
Aaj Samaj,New Delhi edition,HR,Sirsa,2014,H2,Hindi,Dailies,9159.0,HARYANA,SIRSA
Aaj Samaj,New Delhi edition,HR,Sirsa,2015,H1,Hindi,Dailies,8967.0,HARYANA,SIRSA
Aaj Samaj,New Delhi edition,HR,Sonipat,2013,H1,Hindi,Dailies,19879.0,HARYANA,SONIPAT
Aaj Samaj,New Delhi edition,HR,Sonipat,2013,H2,Hindi,Dailies,18926.0,HARYANA,SONIPAT
Aaj Samaj,New Delhi edition,HR,Sonipat,2014,H1,Hindi,Dailies,18409.0,HARYANA,SONIPAT
Aaj Samaj,New Delhi edition,HR,Sonipat,2014,H2,Hindi,Dailies,18721.0,HARYANA,SONIPAT
Aaj Samaj,New Delhi edition,HR,Sonipat,2015,H1,Hindi,Dailies,18430.0,HARYANA,SONIPAT
Aaj Samaj,New Delhi edition,HR,Yamunanagar,2013,H1,Hindi,Dailies,29919.0,HARYANA,YAMUNANAGAR
Aaj Samaj,New Delhi edition,HR,Yamunanagar,2013,H2,Hindi,Dailies,28825.0,HARYANA,YAMUNANAGAR
Aaj Samaj,New Delhi edition,HR,Yamunanagar,2014,H1,Hindi,Dailies,29090.0,HARYANA,YAMUNANAGAR
Aaj Samaj,New Delhi edition,HR,Yamunanagar,2014,H2,Hindi,Dailies,29726.0,HARYANA,YAMUNANAGAR
Aaj Samaj,New Delhi edition,HR,Yamunanagar,2015,H1,Hindi,Dailies,29471.0,HARYANA,YAMUNANAGAR
Aaj Samaj,New Delhi edition,HP,Shimla,2015,H1,Hindi,Dailies,1060.0,HIMACHAL PRADESH,SHIMLA
Aaj Samaj,New Delhi edition,HP,Solan,2015,H1,Hindi,Dailies,785.0,HIMACHAL PRADESH,SOLAN
Aaj Samaj,New Delhi edition,PB,Mohali,2013,H1,Hindi,Dailies,33786.0,PUNJAB,MOHALI
Aaj Samaj,New Delhi edition,PB,Mohali,2013,H2,Hindi,Dailies,34324.0,PUNJAB,MOHALI
Aaj Samaj,New Delhi edition,PB,Mohali,2014,H1,Hindi,Dailies,33597.0,PUNJAB,MOHALI
Aaj Samaj,New Delhi edition,PB,Mohali,2014,H2,Hindi,Dailies,33660.0,PUNJAB,MOHALI
Aaj Samaj,New Delhi edition,PB,Mohali,2015,H1,Hindi,Dailies,33155.0,PUNJAB,MOHALI
Aaj Samaj,New Delhi edition,UP,Gautam Buddha Nagar,2013,H1,Hindi,Dailies,852.0,UTTAR PRADESH,GAUTAM BUDDHA NAGAR
Aaj Samaj,New Delhi edition,UP,Gautam Buddha Nagar,2013,H2,Hindi,Dailies,771.0,UTTAR PRADESH,GAUTAM BUDDHA NAGAR
Aaj Samaj,New Delhi edition,UP,Gautam Buddha Nagar,2014,H1,Hindi,Dailies,778.0,UTTAR PRADESH,GAUTAM BUDDHA NAGAR
Aaj Samaj,New Delhi edition,UP,Gautam Buddha Nagar,2014,H2,Hindi,Dailies,804.0,UTTAR PRADESH,GAUTAM BUDDHA NAGAR
Aaj Samaj,New Delhi edition,UP,Gautam Buddha Nagar,2015,H1,Hindi,Dailies,793.0,UTTAR PRADESH,GAUTAM BUDDHA NAGAR
Aaj Samaj,New Delhi edition,UP,Ghaziabad,2013,H1,Hindi,Dailies,918.0,UTTAR PRADESH,GHAZIABAD
Aaj Samaj,New Delhi edition,UP,Ghaziabad,2013,H2,Hindi,Dailies,833.0,UTTAR PRADESH,GHAZIABAD
Aaj Samaj,New Delhi edition,UP,Ghaziabad,2014,H1,Hindi,Dailies,848.0,UTTAR PRADESH,GHAZIABAD
Aaj Samaj,New Delhi edition,UP,Ghaziabad,2014,H2,Hindi,Dailies,869.0,UTTAR PRADESH,GHAZIABAD
